,ticker,volume_threshold(%),change_threshold(%),holding_days,start_date,end_date,total_trades,avg_return(%),cumulative_return(%),buy_hold_return(%),max_drawdown(%),CAGR(%),calmer_ratio,wining_trades,win_rate(%),avg_wining_return(%),five_best_wining_return,losing_trades,lose_rate(%),avg_losing_return(%),five_worst_losing_return
0,SOL-USD,10,1,1,2020-04-10,2024-12-23,306,1.15,1088.07,19873.68,-96.63,208.14,2.15,163,53.27,6.57,"[35.86, 32.59, 30.3, 25.6, 24.65]",141,46.08,-5.1,"[-37.2, -32.56, -24.8, -20.12, -13.25]"
1,SOL-USD,10,1,2,2020-04-10,2024-12-23,225,2.31,4761.4,19873.68,-96.63,208.14,2.15,117,52.0,9.76,"[45.91, 43.04, 42.4, 37.06, 32.02]",106,47.11,-5.86,"[-33.08, -30.0, -24.03, -19.98, -17.76]"
2,SOL-USD,10,1,3,2020-04-10,2024-12-23,181,3.4,10003.91,19873.68,-96.63,208.14,2.15,107,59.12,10.91,"[46.41, 42.4, 41.2, 39.07, 37.61]",74,40.88,-7.47,"[-44.81, -27.23, -25.61, -25.57, -24.81]"
3,SOL-USD,10,1,4,2020-04-10,2024-12-23,159,4.43,22072.37,19873.68,-96.63,208.14,2.15,98,61.64,12.69,"[46.76, 43.04, 41.88, 41.63, 38.82]",58,36.48,-9.29,"[-30.08, -28.51, -21.73, -21.49, -20.81]"
4,SOL-USD,10,1,5,2020-04-10,2024-12-23,139,5.15,13118.06,19873.68,-96.63,208.14,2.15,88,63.31,14.54,"[61.6, 60.2, 49.32, 49.07, 48.05]",51,36.69,-11.07,"[-58.73, -45.61, -32.56, -20.35, -20.29]"
5,SOL-USD,10,1,6,2020-04-10,2024-12-23,130,6.24,24064.88,19873.68,-96.63,208.14,2.15,75,57.69,18.41,"[81.63, 70.59, 69.34, 62.09, 56.94]",55,42.31,-10.37,"[-47.66, -33.64, -28.23, -27.55, -24.03]"
6,SOL-USD,10,1,7,2020-04-10,2024-12-23,114,7.25,34025.55,19873.68,-96.63,208.14,2.15,73,64.04,17.63,"[75.36, 70.14, 66.4, 63.82, 59.71]",41,35.96,-11.22,"[-51.66, -47.69, -33.56, -29.95, -28.69]"
7,SOL-USD,10,1,8,2020-04-10,2024-12-23,109,7.46,27390.62,19873.68,-96.63,208.14,2.15,64,58.72,19.92,"[94.61, 72.11, 64.66, 54.3, 42.43]",45,41.28,-10.25,"[-56.96, -33.73, -31.25, -29.98, -28.97]"
8,SOL-USD,10,1,9,2020-04-10,2024-12-23,100,8.18,19477.46,19873.68,-96.63,208.14,2.15,60,60.0,21.98,"[95.26, 84.69, 74.95, 72.45, 62.17]",40,40.0,-12.51,"[-61.04, -36.44, -27.65, -27.11, -26.91]"
9,SOL-USD,10,1,10,2020-04-10,2024-12-23,95,8.62,21606.72,19873.68,-96.63,208.14,2.15,52,54.74,25.26,"[88.62, 75.52, 68.66, 64.98, 61.18]",42,44.21,-11.78,"[-58.56, -29.32, -26.93, -25.81, -25.17]"
10,SOL-USD,10,1,11,2020-04-10,2024-12-23,88,8.89,12803.32,19873.68,-96.63,208.14,2.15,52,59.09,24.2,"[118.24, 111.84, 80.54, 63.97, 62.01]",36,40.91,-13.23,"[-61.14, -28.86, -27.55, -25.0, -25.0]"
